,0,1,2
32,00fb8f45-5174-37c2-8d11-e854a6dd6be6.yml,Skiipe,"{'home': {'world': 'world', 'x': 6046.623924235226, 'y': 64.0, 'z': 3629.165284144662, 'yaw': 140.57989501953125, 'pitch': 9.032740592956543, 'world-name': ''}}"
33,00fe7fd4-9c39-3bb0-9eb0-e4699d175bbf.yml,Ainao_owo,"{'home': {'world': 'world', 'x': -318.22832605436656, 'y': 71.0, 'z': 795.6038903306475, 'yaw': -27.34418296813965, 'pitch': 14.3443603515625, 'world-name': ''}}"
34,01053aae-5ae1-30ba-aa53-77a8f59ff187.yml,I_AM_MATRIX,
35,01106fbe-2f77-3a19-aaa0-2568075d6883.yml,QuickSmilee,
36,0117c9ab-0f75-3d84-a9ac-d17d4580ddac.yml,Oximoz_z,
37,011a218d-ee63-37f6-bbef-850d9afba4c8.yml,minecraft_1678,
38,011ebe16-1b8c-36df-b295-88a3f687a953.yml,EchelleTique70,
39,01273389-14e1-3515-8055-a2da9b47c73a.yml,_Wuz_,"{'maison': {'world': 'world', 'x': -382.5464404736396, 'y': 70.0, 'z': -1385.5260708614198, 'yaw': -135.933837890625, 'pitch': 31.419981002807617, 'world-name': ''}}"
40,0128fb6d-43cc-3b6e-8303-22e4008f1694.yml,Itake68210,
41,01331c54-8b80-31f8-811d-dee5e16fd0ec.yml,DSAPhilomen,
42,01399f35-8a05-3b3b-a525-2d032d1e82ba.yml,XxGamerDu52xX,
43,013dc7fd-d2f8-3e70-9546-a36b34e02ca1.yml,Maigriichon,
44,014041b7-3c61-3f35-879e-8a61cc148596.yml,TheLastSamurai01,
45,0161ddab-041f-3403-bf1d-a789792db95b.yml,qui24,
46,01631bb7-3cc7-37e1-8091-265809036959.yml,gluyton,
47,016e6e03-b6d6-3c62-be3d-2c1d73ce0908.yml,zouzou1,"{'home': {'world': 'world', 'x': 164.30000001192093, 'y': 10.855581942924651, 'z': -76.9675893356983, 'yaw': -116.54822540283203, 'pitch': 25.04999351501465, 'world-name': ''}}"
48,017a2818-2f9c-3b72-9481-68980a635214.yml,Pixeloceax,"{'home': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'x': 6699.7592738113, 'y': 73.0, 'z': 5580.15568955187, 'yaw': -269.6810302734375, 'pitch': 18.193077087402344, 'world-name': 'world'}}"
49,01a4509d-1066-3737-b0a0-3c2e51c461cd.yml,mikael988,
50,01a7723b-23d5-35c3-a3e6-918f0d1e8a25.yml,Aseltix,
51,01a9aea5-ad74-3ad1-9272-47173e3f1f87.yml,shotloof,"{'tour': {'world': 'world', 'x': -4911.118759354348, 'y': 79.5, 'z': 2361.419566563908, 'yaw': -94.2047119140625, 'pitch': 35.10006332397461, 'world-name': ''}, 't': {'world': 'world', 'x': -4911.530806954626, 'y': 91.0, 'z': 2229.6796161773264, 'yaw': -222.1944580078125, 'pitch': 51.00004577636719, 'world-name': ''}, 'h': {'world': 'world', 'x': -4788.5, 'y': 64.0, 'z': 2311.5, 'yaw': -356.85601806640625, 'pitch': 19.80033302307129, 'world-name': ''}}"
52,01b08305-7091-3f8c-9012-0209c8a0405e.yml,hoshi084,
53,01b31f05-4ebc-3001-b97c-0b80188fe172.yml,moujahed,
54,01b6afa1-833d-3ed4-81b3-72626a019f91.yml,Gatsu3,
55,01c44d61-ccf7-3c0c-9609-003ac61e6348.yml,Thoofix,
56,01ce361c-0881-3fd6-9e0f-9191e1dfbdb8.yml,Arya_Gupta,
57,01d61a11-ae95-3c09-af51-549e9934a2b7.yml,bisousNourss,
58,01dad01b-11b2-3100-bf2d-71b10791d631.yml,foliot1511,
59,01f1643b-1dc7-33cf-adf6-7f36a5e640ba.yml,Yanis2108,"{'home': {'world': 'End', 'x': 1215.345666013992, 'y': 121.90977572894475, 'z': -373.34429007530355, 'yaw': 222.91542053222656, 'pitch': 85.79997253417969, 'world-name': ''}}"
60,01f6e11d-6852-33a9-b2d1-df8371c8af06.yml,Luciolena,
61,02062fe6-a34f-3995-abdb-2c97609b0c42.yml,blanblan14,
62,0208ce55-b390-3cb7-aa19-9f98d6001f35.yml,Khazzix,
63,020bdb15-ab80-3188-a5d4-33b05e934267.yml,_MissGirly_,"{'home': {'world': 'world', 'x': 5458.830012468331, 'y': 79.0, 'z': -2164.990609907527, 'yaw': -107.57463836669922, 'pitch': 25.44198226928711, 'world-name': ''}}"
64,021a46fd-273f-3883-8ba5-cf32a476d72e.yml,Cedam_,
65,021dbd39-ab64-3917-87ad-122e274f1d5c.yml,Lushane,"{'home': {'world': 'world', 'x': -4514.66179391622, 'y': 67.0, 'z': 5152.668150711231, 'yaw': 66.30021667480469, 'pitch': 12.899994850158691, 'world-name': ''}, 'caro': {'world': 'world', 'x': -4452.234104114665, 'y': 63.0, 'z': 5437.313751098565, 'yaw': 8.6988525390625, 'pitch': 15.600214958190918, 'world-name': ''}, 'village': {'world': 'Ressource', 'x': 132.1990588093777, 'y': 71.0, 'z': 4283.134641747107, 'yaw': -147.30029296875, 'pitch': 24.450014114379883, 'world-name': ''}}"
66,02207af9-4992-3c83-b520-2a8577c0f51e.yml,leMMderoblox,
67,02207c8c-f550-3e2c-aec5-10da7e437369.yml,Miss_Miku,
68,02242502-f396-3296-80f7-acaa86ba3a52.yml,irishtomtom,"{'home': {'world': 'world', 'x': 2506.977480128258, 'y': 63.0, 'z': -6062.168224424569, 'yaw': -9.38616943359375, 'pitch': 21.656110763549805, 'world-name': ''}}"
69,0224424d-046a-336b-a185-515fac053ed5.yml,King_JL_,
